"date","AQI","Range","Level","PM2.5","PM10","SO2","CO","NO2","O3","Order","Year"
2014-01-01,87,"76~99","¡º",45,111.3,27.7,1.5,61.9,64,32,2014
2014-01-02,119,"80~218","«·∂»Œ€»æ",111.4,168.5,69.3,3.426,93.1,17,66,2014
2014-01-03,81,"38~202","¡º",46.5,97.7,29,1.313,52,65,41,2014
2014-01-04,151,"87~229","÷–∂»Œ€»æ",114.4,147,40,2.823,75.4,10,112,2014
2014-01-05,121,"33~220","«·∂»Œ€»æ",90.5,117.5,35.9,2.305,67,57,67,2014
2014-01-06,181,"149~228","÷–∂»Œ€»æ",137.5,157.8,46.3,2.39,68.2,11,104,2014
2014-01-07,144,"20~247","«·∂»Œ€»æ",110.6,124.9,34.4,1.97,59.8,55,85,2014
2014-01-08,29,"20~43","”≈",15.3,24.6,13,0.509,21.1,59,9,2014
2014-01-09,44,"18~82","”≈",27,45.5,19.3,0.804,34.5,65,25,2014
2014-01-10,86,"53~157","¡º",62.8,93.5,53.2,1.904,70.5,28,58,2014
2014-01-11,140,"84~247","«·∂»Œ€»æ",106.2,128.2,75.9,2.827,89.8,20,106,2014
2014-01-12,47,"20~87","”≈",26.6,47.2,26.9,0.728,39.1,68,32,2014
2014-01-13,110,"69~194","«·∂»Œ€»æ",82.2,107,66.5,2.305,78.1,27,113,2014
2014-01-14,109,"50~175","«·∂»Œ€»æ",81.5,107.6,67.8,2.405,74.2,31,87,2014
2014-01-15,120,"67~458","«·∂»Œ€»æ",94.9,117.4,66,2.658,83.8,25,68,2014
2014-01-16,390,"172~487","—œ÷ÿŒ€»æ",353,384.5,109.2,4.6,122.9,32,179,2014
2014-01-17,207,"94~365","÷ÿ∂»Œ€»æ",165.1,193.8,66.7,2.46,75.8,47,115,2014
2014-01-18,100,"36~237","«·∂»Œ€»æ",74.5,81.2,42.2,1.517,60.8,44,50,2014
2014-01-19,178,"119~244","÷–∂»Œ€»æ",115.4,186.1,71.3,2.513,72.2,66,101,2014
2014-01-20,39,"26~103","”≈",7.8,34.7,6.1,0.324,14.7,67,6,2014
2014-01-21,30,"23~52","”≈",18.3,24.9,26.5,0.729,34,50,6,2014
2014-01-22,150,"105~247","÷–∂»Œ€»æ",114.8,137.6,74.5,2.216,93.3,22,147,2014
2014-01-23,271,"228~325","÷ÿ∂»Œ€»æ",220.9,262.5,117.6,4.057,125,10,182,2014
2014-01-24,185,"46~314","÷–∂»Œ€»æ",147.8,167.8,78.6,2.783,92.1,30,117,2014
2014-01-25,42,"21~81","”≈",24.2,41.6,24.5,0.964,42.3,66,18,2014
2014-01-26,77,"54~146","¡º",52.6,81,44.9,0.99,47.5,51,78,2014
2014-01-27,128,"28~206","«·∂»Œ€»æ",89.2,119.5,56.5,1.776,60,63,116,2014
2014-01-28,61,"23~106","¡º",39.6,74.9,28.2,0.91,38.5,70,53,2014
2014-01-29,154,"93~250","÷–∂»Œ€»æ",118.2,141.2,70.7,2.326,74.9,24,136,2014
2014-01-30,99,"22~233","¡º",71.7,96.7,39.3,1.214,45.9,73,50,2014
2014-01-31,184,"110~361","÷–∂»Œ€»æ",143.2,181.7,63.2,1.457,47.9,45,82,2014
2015-01-01,61,"20~121","¡º",41,66.8,23.8,1.089,49.9,51,190,2015
2015-01-02,72,"20~150","¡º",50.6,80.3,31.4,1.346,60,50,133,2015
2015-01-03,194,"163~256","÷–∂»Œ€»æ",148.2,193.4,66.7,3.238,100.7,22,315,2015
2015-01-04,218,"142~306","÷ÿ∂»Œ€»æ",173.8,224.9,74.8,3.675,119.6,26,279,2015
2015-01-05,155,"34~262","÷–∂»Œ€»æ",106.6,156.4,57.2,2.9,70,69,208,2015
2015-01-06,53,"23~138","¡º",34.2,51.2,22.2,0.805,40.1,58,108,2015
2015-01-07,85,"38~146","¡º",61.8,89.1,38.1,1.771,64,40,193,2015
2015-01-08,163,"104~277","÷–∂»Œ€»æ",124.1,151,49.4,2.981,91.9,15,297,2015
2015-01-09,99,"19~269","¡º",73.3,92.8,32.3,1.578,61.3,64,128,2015
2015-01-10,191,"96~270","÷–∂»Œ€»æ",146.7,174.3,54.8,2.813,94.5,48,287,2015
2015-01-11,56,"18~153","¡º",37.3,55,18,0.896,46.5,50,81,2015
2015-01-12,154,"125~220","÷–∂»Œ€»æ",116.9,146,43,2.185,72.2,37,304,2015
2015-01-13,203,"161~264","÷ÿ∂»Œ€»æ",155.8,183.3,54,2.817,91.8,21,335,2015
2015-01-14,265,"215~317","÷ÿ∂»Œ€»æ",213.9,250.8,54.1,3.083,100.3,7,356,2015
2015-01-15,373,"281~460","—œ÷ÿŒ€»æ",328.3,375.5,34.3,4.739,111.4,7,363,2015
2015-01-16,138,"19~458","«·∂»Œ€»æ",111.9,119.5,9.2,1.636,41.8,68,121,2015
2015-01-17,83,"20~171","¡º",59.5,71.3,29.5,1.208,57.2,44,148,2015
2015-01-18,112,"48~185","«·∂»Œ€»æ",68.4,109.7,29.9,1.49,51.6,77,201,2015
2015-01-19,66,"27~128","¡º",42.9,73.7,25,1.291,58.7,59,110,2015
2015-01-20,112,"94~144","«·∂»Œ€»æ",84.1,107.6,43.8,1.996,74.5,34,232,2015
2015-01-21,33,"19~85","”≈",19.1,23.4,15.8,0.639,32.2,68,19,2015
2015-01-22,129,"48~242","«·∂»Œ€»æ",97.7,120.6,39.1,1.992,79.6,45,204,2015
2015-01-23,257,"222~307","÷ÿ∂»Œ€»æ",206.1,232.7,61.4,3.553,120.9,20,358,2015
2015-01-24,130,"74~299","«·∂»Œ€»æ",95.7,145.1,33,2.009,69.8,34,188,2015
2015-01-25,175,"115~257","÷–∂»Œ€»æ",134.3,99.6,15.6,1.742,60.5,37,249,2015
2015-01-26,136,"23~271","«·∂»Œ€»æ",102.3,106.5,10.9,1.668,42.7,64,160,2015
2015-01-27,33,"23~66","”≈",16.9,28,14.3,0.629,29.2,60,44,2015
2015-01-28,52,"19~125","¡º",36.7,47.4,21.3,1.03,49.3,49,142,2015
2015-01-29,89,"24~182","¡º",62.6,77.2,21.9,1.2,41.3,68,202,2015
2015-01-30,28,"22~39","”≈",11.6,21.4,12.3,0.53,25.6,70,22,2015
2015-01-31,43,"19~131","”≈",29.5,42,19,0.833,42.5,59,69,2015
2016-01-01,216,"134~329","÷ÿ∂»Œ€»æ",171,189,33,3.333,104.8,18,305,2016
2016-01-02,306,"236~447","—œ÷ÿŒ€»æ",258.7,273.5,35.2,4.521,123,27,344,2016
2016-01-03,300,"210~465","÷ÿ∂»Œ€»æ",254.6,295.9,20.4,3.638,86.5,31,323,2016
2016-01-04,62,"18~294","¡º",46.3,23,6.3,1.013,35.3,64,63,2016
2016-01-05,46,"13~114","”≈",31.6,43.2,10.6,0.867,36.2,52,96,2016
2016-01-06,46,"26~105","”≈",27.4,49.5,10.6,1.004,37.1,61,92,2016
2016-01-07,21,"13~27","”≈",12.3,20.6,6.4,0.546,27.6,58,11,2016
2016-01-08,57,"18~148","¡º",39.4,54.5,14,0.988,46.5,59,93,2016
2016-01-09,100,"43~208","¡º",72.3,98.5,22.5,1.833,72.5,32,175,2016
2016-01-10,76,"28~180","¡º",51.1,84.5,21.6,1.575,58,43,148,2016
2016-01-11,23,"17~34","”≈",11.3,22.1,5.8,0.563,24.6,64,29,2016
2016-01-12,28,"15~40","”≈",13.4,27.3,7.5,0.65,29.3,58,32,2016
2016-01-13,43,"19~69","”≈",25.1,45,13.3,0.925,47.2,60,73,2016
2016-01-14,94,"59~150","¡º",70,93.8,26.2,1.829,71.7,53,201,2016
2016-01-15,127,"74~250","«·∂»Œ€»æ",95.9,122.8,33.7,2.579,83.9,33,244,2016
2016-01-16,164,"129~255","÷–∂»Œ€»æ",125.3,142.7,44.9,2.563,72.3,21,288,2016
2016-01-17,61,"22~198","¡º",41.9,42.3,9.5,0.917,30.8,71,102,2016
2016-01-18,42,"22~65","”≈",9.8,43.9,4.2,0.546,17.4,63,78,2016
2016-01-19,82,"38~140","¡º",58,84.3,21.6,1.579,60.4,40,170,2016
2016-01-20,151,"119~199","÷–∂»Œ€»æ",114.4,139.5,54.9,3.317,78.4,16,325,2016
2016-01-21,175,"144~200","÷–∂»Œ€»æ",132.1,148.2,29,2.763,68.9,17,340,2016
2016-01-22,45,"23~195","”≈",18.1,36.4,5.5,0.663,18,67,113,2016
2016-01-23,39,"16~70","”≈",9.1,41.5,4,0.6,13.1,63,117,2016
2016-01-24,49,"38~57","”≈",12.1,49.9,6,0.6,22.5,64,127,2016
2016-01-25,47,"28~69","”≈",27.4,47.5,16.4,0.829,42.4,52,84,2016
2016-01-26,57,"32~132","¡º",32.1,57.4,17.3,0.779,35.7,64,101,2016
2016-01-27,126,"59~227","«·∂»Œ€»æ",94.6,104.3,36.9,2.117,76.8,35,241,2016
2016-01-28,161,"85~246","÷–∂»Œ€»æ",123.3,134.1,44.8,2.396,80.9,53,296,2016
2016-01-29,88,"64~169","¡º",64.7,83.3,36.3,1.813,56.1,36,219,2016
2016-01-30,71,"24~113","¡º",51.4,60.3,22,1.304,49.6,48,178,2016
2016-01-31,30,"14~88","”≈",18,27.8,9.5,0.592,29.3,70,49,2016
2014-02-01,179,"149~213","÷–∂»Œ€»æ",135.1,145.8,51.5,1.982,57.5,16,130,2014
2014-02-02,109,"34~206","«·∂»Œ€»æ",65.9,97.5,19.1,1.218,31.3,77,63,2014
2014-02-03,40,"33~58","”≈",5.2,31.7,4.8,0.31,8.1,76,29,2014
2014-02-04,51,"29~128","¡º",26.9,40.3,19.1,0.611,21.1,71,52,2014
2014-02-05,117,"91~158","«·∂»Œ€»æ",88.3,102.4,53.2,1.577,48.7,48,177,2014
2014-02-06,159,"118~197","÷–∂»Œ€»æ",120.2,130.4,66.3,2.044,63.8,48,181,2014
2014-02-07,134,"130~137","«·∂»Œ€»æ",101.7,67.3,33.3,1.6,59,16,167,2014
2014-02-08,96,"22~169","¡º",66.7,39.7,22.8,1.195,35.9,69,105,2014
2014-02-09,29,"25~33","”≈",9,15.7,15.6,0.458,17.7,68,35,2014
2014-02-10,37,"21~82","”≈",24.2,28.5,25.6,0.738,37.7,62,39,2014
2014-02-11,129,"80~228","«·∂»Œ€»æ",97.9,111.5,57.8,2.059,76.8,49,147,2014
2014-02-12,150,"53~216","÷–∂»Œ€»æ",111.5,115.8,53,2.163,77.4,57,134,2014
2014-02-13,239,"211~285","÷ÿ∂»Œ€»æ",187.8,173.3,73.3,2.817,83.6,33,180,2014
2014-02-14,311,"248~500","—œ÷ÿŒ€»æ",265.3,295.3,73.3,3.1,94.8,35,181,2014
2014-02-15,428,"358~500","—œ÷ÿŒ€»æ",392.6,448.6,100.2,3.783,109.7,33,186,2014
2014-02-16,339,"183~470","—œ÷ÿŒ€»æ",296,204,79.1,3.175,87.6,77,178,2014
2014-02-17,138,"73~276","«·∂»Œ€»æ",105.1,51.6,66.5,2.073,72.5,67,145,2014
2014-02-18,96,"59~133","¡º",70.8,84.1,37.6,1.133,61.3,52,141,2014
2014-02-19,87,"24~173","¡º",64.3,71.6,33.7,1.2,60.3,71,95,2014
2014-02-20,212,"172~314","÷ÿ∂»Œ€»æ",164.4,174.8,44.8,2.175,78.9,24,167,2014
2014-02-21,309,"285~326","—œ÷ÿŒ€»æ",258.6,284.1,77.8,2.68,100.8,35,184,2014
2014-02-22,314,"283~341","—œ÷ÿŒ€»æ",262.9,300.4,101.9,3.357,101.5,24,182,2014
2014-02-23,261,"234~291","÷ÿ∂»Œ€»æ",210.6,245.6,129.7,3.596,91.9,15,172,2014
2014-02-24,310,"275~399","—œ÷ÿŒ€»æ",259.8,327.3,133.1,4.748,119.4,25,176,2014
2014-02-25,403,"383~419","—œ÷ÿŒ€»æ",354.3,389.1,78.3,5.22,121.6,16,182,2014
2014-02-26,331,"84~500","—œ÷ÿŒ€»æ",315.5,250.1,80.5,3.692,105.6,29,162,2014
2014-02-27,33,"18~61","”≈",16.5,24.3,13.3,0.467,25.3,73,16,2014
2014-02-28,106,"58~185","«·∂»Œ€»æ",77.8,102,32.6,1.505,71.4,49,149,2014
2015-02-01,103,"55~191","«·∂»Œ€»æ",76.6,98.5,40.8,1.913,67.3,35,232,2015
2015-02-02,184,"125~229","÷–∂»Œ€»æ",139.2,155.7,56.5,2.458,86.7,26,321,2015
2015-02-03,156,"33~255","÷–∂»Œ€»æ",117.4,78.7,28.8,1.909,61,80,229,2015
2015-02-04,37,"25~79","”≈",10.5,32.3,9.2,0.374,19.8,73,45,2015
2015-02-05,45,"27~97","”≈",27,35.3,16,0.709,42.1,72,68,2015
2015-02-06,89,"50~141","¡º",65.4,78.3,30,1.778,72.4,57,169,2015
2015-02-07,37,"25~108","”≈",13.4,26,10.3,0.439,22.1,81,24,2015
2015-02-08,45,"26~119","”≈",23.5,31.8,16.5,0.583,29.5,68,74,2015
2015-02-09,144,"105~221","«·∂»Œ€»æ",108.7,126.8,47.6,1.904,78.5,42,319,2015
2015-02-10,163,"93~216","÷–∂»Œ€»æ",122.8,138.3,47.3,2.392,93.7,70,314,2015
2015-02-11,62,"32~179","¡º",41,56.1,23,1.013,43.7,88,73,2015
2015-02-12,50,"29~116","¡º",31.8,41.6,16.1,0.767,43.6,83,62,2015
2015-02-13,157,"116~275","÷–∂»Œ€»æ",120.6,131.4,33.5,2.152,83.4,60,281,2015
2015-02-14,287,"232~376","÷ÿ∂»Œ€»æ",236.4,238.6,55.4,3.163,109.3,83,357,2015
2015-02-15,335,"258~380","—œ÷ÿŒ€»æ",284.5,307.8,78.2,4.425,113.4,25,360,2015
2015-02-16,164,"38~303","÷–∂»Œ€»æ",121.2,155.8,30.5,2.271,54.1,76,206,2015
2015-02-17,43,"29~75","”≈",21.9,41.4,10,0.533,28.3,83,35,2015
2015-02-18,68,"19~226","¡º",46,56.5,18.2,0.746,30.5,85,98,2015
2015-02-19,266,"175~436","÷ÿ∂»Œ€»æ",217.8,248.5,54.7,1.496,41.8,72,346,2015
2015-02-20,181,"141~245","÷–∂»Œ€»æ",138.3,29.2,8.7,1.465,37.8,51,353,2015
2015-02-21,279,"176~500","÷ÿ∂»Œ€»æ",152.4,172.1,8.7,1.639,31.9,77,361,2015
2015-02-22,199,"66~500","÷–∂»Œ€»æ",41.9,277,4,0.404,14.5,70,246,2015
2015-02-23,94,"60~261","¡º",55.3,113.8,20.6,0.8,33.6,74,212,2015
2015-02-24,198,"139~267","÷–∂»Œ€»æ",153.1,213,33.9,2.132,58.7,66,352,2015
2015-02-25,107,"20~274","«·∂»Œ€»æ",77,109.5,10,1.073,32.3,85,165,2015
2015-02-26,34,"27~40","”≈",12.7,25.7,6,0.387,18.1,82,59,2015
2015-02-27,41,"25~69","”≈",23.1,37.1,13.2,0.667,29.7,56,124,2015
2015-02-28,163,"60~272","÷–∂»Œ€»æ",123.3,126.5,7.9,1.279,40,46,336,2015
2016-02-01,24,"17~31","”≈",13.3,22.2,9.1,0.588,31.8,72,46,2016
2016-02-02,40,"20~97","”≈",28.3,34.6,15.3,0.892,48,60,60,2016
2016-02-03,52,"30~79","¡º",35.7,46.8,19.1,1.213,56.5,56,58,2016
2016-02-04,25,"16~52","”≈",12.9,23.8,7.8,0.479,23.9,78,13,2016
2016-02-05,32,"19~52","”≈",9.8,31.1,5.7,0.379,16.4,78,42,2016
2016-02-06,42,"18~100","”≈",28,39.6,12.8,0.729,33.8,82,81,2016
2016-02-07,67,"44~189","¡º",42.7,69.3,19.8,0.925,37.2,82,118,2016
2016-02-08,201,"22~500","÷ÿ∂»Œ€»æ",200.6,262.1,57,1.063,38.5,77,150,2016
2016-02-09,57,"29~105","¡º",40.8,48.8,19.2,1.063,39.7,103,102,2016
2016-02-10,124,"92~211","«·∂»Œ€»æ",93.5,96.5,47.8,2.458,63.6,58,274,2016
2016-02-11,203,"166~228","÷ÿ∂»Œ€»æ",154.2,167.4,44.7,3.113,69.7,24,334,2016
2016-02-12,192,"69~260","÷–∂»Œ€»æ",147.7,99.4,18.8,2.213,55.8,58,313,2016
2016-02-13,22,"17~46","”≈",10.4,9,5,0.342,12.1,69,24,2016
2016-02-14,23,"17~33","”≈",7.4,14.7,3.5,0.346,11,72,42,2016
2016-02-15,39,"18~83","”≈",7.5,43.9,3.6,0.333,14,75,144,2016
2016-02-16,37,"24~56","”≈",7.4,37.3,5,0.325,16.7,77,101,2016
2016-02-17,61,"19~100","¡º",43.5,48.8,15.6,1.042,47,87,188,2016
2016-02-18,36,"24~80","”≈",15.8,31.5,5.8,0.446,23.4,88,32,2016
2016-02-19,32,"20~75","”≈",15,31.6,5.5,0.504,26.9,84,26,2016
2016-02-20,27,"17~59","”≈",14.8,21.2,5.9,0.43,20.2,82,21,2016
2016-02-21,103,"54~178","«·∂»Œ€»æ",77,97.1,25.1,1.429,55.8,69,228,2016
2016-02-22,104,"36~182","«·∂»Œ€»æ",72.2,91.2,17.1,1.163,43,85,210,2016
2016-02-23,24,"19~35","”≈",11.2,19.2,5.1,0.342,16.5,84,33,2016
2016-02-24,49,"23~69","”≈",26.2,46,9.9,0.758,35.4,84,115,2016
2016-02-25,43,"26~59","”≈",24.3,43.8,9.9,0.733,35.7,65,71,2016
2016-02-26,52,"16~103","¡º",35.3,56.8,13.3,0.771,39.4,79,125,2016
2016-02-27,32,"15~62","”≈",21.2,31,8.9,0.588,35.9,77,34,2016
2016-02-28,55,"22~98","¡º",32.3,50.6,7.8,0.804,35,82,121,2016
2016-02-29,45,"16~97","”≈",31.9,41.6,11.4,0.675,40.1,66,103,2016
2014-03-01,57,"23~127","¡º",38.4,57.2,23.4,0.827,48.1,79,63,2014
2014-03-02,177,"137~257","÷–∂»Œ€»æ",134.7,165,60.5,2.578,93.5,47,162,2014
2014-03-03,268,"213~316","÷ÿ∂»Œ€»æ",217.5,247.9,96,4.179,102.2,8,184,2014
2014-03-04,86,"17~288","¡º",56.9,77.6,27.5,1.261,39.6,82,55,2014
2014-03-05,39,"24~61","”≈",19.6,34.8,16,0.777,34.9,77,26,2014
2014-03-06,36,"24~71","”≈",15.8,27.9,14.2,0.604,29.2,82,22,2014
2014-03-07,68,"23~94","¡º",48.1,72.4,25.7,1.057,52.8,75,91,2014
2014-03-08,172,"94~224","÷–∂»Œ€»æ",130.7,165.5,67.9,2.265,91.6,49,166,2014
2014-03-09,126,"37~189","«·∂»Œ€»æ",94.5,118,45,1.583,68.2,89,130,2014
2014-03-10,109,"46~193","«·∂»Œ€»æ",81,100.9,53.4,1.679,72.2,57,99,2014
2014-03-11,205,"51~261","÷ÿ∂»Œ€»æ",154.8,195.7,76,2.362,80.4,87,159,2014
2014-03-12,37,"31~52","”≈",10.6,22.7,9,0.41,25.7,85,13,2014
2014-03-13,56,"20~215","¡º",19.6,75,14.3,0.613,36.7,90,49,2014
2014-03-14,62,"28~144","¡º",20.6,78.8,13.3,0.513,31.2,93,44,2014
2014-03-15,129,"89~219","«·∂»Œ€»æ",94,172.7,43,1.465,89.1,86,132,2014
2014-03-16,152,"98~222","÷–∂»Œ€»æ",113,198.3,76.5,2.113,72.2,117,148,2014
2014-03-17,182,"61~500","÷–∂»Œ€»æ",82.9,240.7,26.9,1.217,49.7,81,139,2014
2014-03-18,88,"50~160","¡º",37.2,123.8,17,0.623,36.2,101,59,2014
2014-03-19,75,"53~93","¡º",46.1,93,16.9,0.778,45.8,85,58,2014
2014-03-20,38,"29~55","”≈",10.3,27,5.2,0.375,22.5,92,13,2014
2014-03-21,55,"25~91","¡º",24.8,64,11,0.625,43.4,102,45,2014
2014-03-22,83,"37~162","¡º",46.8,114.6,16.3,0.838,53.4,109,82,2014
2014-03-23,176,"117~268","÷–∂»Œ€»æ",134.1,182.7,43.6,1.552,68.9,167,168,2014
2014-03-24,270,"218~299","÷ÿ∂»Œ€»æ",220.1,249.2,52.9,1.99,93.3,144,188,2014
2014-03-25,250,"214~294","÷ÿ∂»Œ€»æ",199.7,236.6,42.8,1.626,92.2,186,182,2014
2014-03-26,319,"243~408","—œ÷ÿŒ€»æ",268.9,318.3,42.9,1.968,110.5,181,184,2014
2014-03-27,294,"134~414","÷ÿ∂»Œ€»æ",249.3,300.3,33.7,2.373,106.7,31,177,2014
2014-03-28,169,"82~218","÷–∂»Œ€»æ",127.5,170.8,24.6,1.683,66,104,162,2014
2014-03-29,72,"41~204","¡º",39.1,76,7,0.588,36.6,99,64,2014
2014-03-30,64,"30~97","¡º",31.4,77.6,8,0.552,57.7,100,48,2014
2014-03-31,172,"55~296","÷–∂»Œ€»æ",132.9,183.2,34.5,1.759,80.5,109,159,2014
2015-03-01,74,"30~166","¡º",44.6,90.5,11.5,0.892,39.3,84,201,2015
2015-03-02,86,"37~143","¡º",53.3,82.4,17.3,1.357,44.5,84,222,2015
2015-03-03,49,"36~80","”≈",7.6,48.2,2.2,0.288,10.4,82,100,2015
2015-03-04,42,"20~96","”≈",24.5,41.2,12,0.636,31,81,94,2015
2015-03-05,144,"88~265","«·∂»Œ€»æ",110,129.3,46.5,1.554,59,80,353,2015
2015-03-06,246,"206~327","÷ÿ∂»Œ€»æ",195,217.3,59.3,2.15,82.1,82,361,2015
2015-03-07,282,"219~331","÷ÿ∂»Œ€»æ",231.4,246.3,41.1,2.396,82.7,112,366,2015
